"WID","login_count","level","playcount_sum","playtime_sum","recent_date","mode"
W15550,1022,50,247,78877,2023-05-23,5
W15550,1022,50,15,8623,2023-05-22,1
W15561,3184,55,99,99577,2023-04-12,4
W15561,3184,55,766,657817,2023-05-30,3
W15561,3184,55,7,3172,2023-05-01,5
W15561,3184,55,5,2037,2023-04-09,1
W15588,962,55,1196,856122,2023-06-30,3
W15588,962,55,4,4200,2023-06-08,4
W15588,962,55,65,16932,2023-06-25,5
W15588,962,55,11,5463,2023-06-19,1
W15611,1148,49,37,29218,2023-06-27,4
W15611,1148,49,782,558511,2023-06-30,3
W15611,1148,49,872,268836,2023-06-30,5
W15611,1148,49,59,36276,2023-05-20,1
W15642,1200,54,2040,854591,2023-06-30,3
W15642,1200,54,32,17709,2023-06-27,4
W15642,1200,54,561,177566,2023-06-29,5
W15642,1200,54,17,3343,2023-05-08,1
W15733,1988,50,5,6016,2022-07-18,4
W15733,1988,50,686,261420,2023-03-17,5
W15733,1988,50,803,522308,2023-01-21,3
W15733,1988,50,12,4909,2022-10-22,1
W15771,302,50,443,510027,2023-06-18,4
W15771,302,50,27,17471,2023-03-26,3
W15881,450,49,554,426583,2022-11-14,4
W15881,450,49,10,4678,2022-11-08,1
W15881,450,49,1,743,2022-07-29,3
W15881,450,49,7,2830,2022-10-16,5
W15938,1915,57,79,52395,2022-12-28,4
W15938,1915,57,381,113500,2023-04-09,1
W15938,1915,57,1320,824333,2023-06-01,3
W15938,1915,57,349,148487,2023-05-13,5
W16041,1031,60,1443,1189755,2023-06-30,4
W16041,1031,60,300,211227,2023-06-28,3
W16041,1031,60,264,91837,2023-06-19,5
W16041,1031,60,3,793,2023-04-02,1
W16041,1031,60,2,1484,2023-06-27,2
W16193,1232,58,1601,884970,2023-06-30,3
W16193,1232,58,9,9398,2023-04-11,4
W16193,1232,58,184,48142,2023-06-28,5
W16193,1232,58,16,4248,2023-03-16,1
W16197,1095,50,169,171519,2023-06-05,4
W16197,1095,50,457,328520,2023-06-26,3
W16197,1095,50,128,58376,2023-06-07,1
W16197,1095,50,527,177545,2023-06-09,5
W16197,1095,50,1,1684,2023-05-02,2
W16268,857,52,69,26750,2023-04-25,4
W16268,857,52,1037,505164,2023-05-05,3
W16268,857,52,24,5576,2023-04-20,5
W16268,857,52,8,2770,2023-03-25,1
W16280,993,47,63,41799,2023-05-09,4
W16280,993,47,356,232703,2023-06-19,3
W16280,993,47,196,90021,2023-06-30,1
W16280,993,47,774,273042,2023-06-30,5
W16309,1266,49,665,320078,2023-06-30,3
W16309,1266,49,71,28481,2023-06-18,4
W16309,1266,49,652,225660,2023-06-30,5
W16309,1266,49,232,21973,2023-06-27,1
W16345,1841,47,35,14001,2022-11-22,4
W16345,1841,47,430,139649,2022-12-23,5
W16345,1841,47,1064,504290,2022-12-23,3
W16345,1841,47,17,4689,2022-11-30,1
W16434,2304,53,107,36755,2023-05-29,4
W16434,2304,53,1501,678878,2023-06-29,3
W16434,2304,53,706,217667,2023-06-01,5
W16434,2304,53,257,110656,2023-06-29,1
W16452,803,57,1602,1324966,2023-06-30,3
W16452,803,57,23,27772,2023-03-15,4
W16471,425,49,507,483690,2023-06-29,3
W16471,425,49,29,23810,2023-06-30,4
W16471,425,49,89,23414,2023-06-29,5
W16471,425,49,4,809,2023-04-25,1
W16661,913,51,115,45572,2022-12-27,4
W16661,913,51,734,256685,2023-01-12,5
W16661,913,51,859,502738,2023-01-05,3
W16661,913,51,115,37906,2022-12-30,1
W16714,310,49,705,284076,2023-06-30,3
W16714,310,49,50,36343,2022-09-14,4
W16714,310,49,2,1649,2023-01-19,1
W16996,957,54,16,8056,2023-04-06,4
W16996,957,54,1967,836725,2023-06-19,3
W16996,957,54,415,164275,2023-06-18,5
W16996,957,54,768,324774,2023-06-23,1
W17367,645,55,382,418129,2023-04-06,4
W17367,645,55,3,1350,2022-10-18,1
W17367,645,55,549,544523,2023-04-06,3
W17367,645,55,3,971,2022-11-11,5
W17526,549,49,431,300235,2023-06-29,4
W17526,549,49,472,148826,2023-06-29,5
W17526,549,49,109,83733,2023-06-16,3
W17526,549,49,17,6629,2023-05-15,1
W17526,549,49,4,6971,2023-06-19,2
W17592,480,51,4,5268,2023-02-27,4
W17592,480,51,666,752599,2023-04-20,3
W17592,480,51,34,9906,2023-02-27,5
W17592,480,51,31,10946,2023-04-16,1
W17666,193,52,42,44832,2022-11-18,4
W17666,193,52,9,4236,2022-11-11,5
W17666,193,52,405,274747,2023-05-27,1
W17666,193,52,20,25071,2023-02-08,3
W17838,1240,51,780,250185,2023-06-30,5
W17838,1240,51,10,10686,2023-03-20,4
W17838,1240,51,812,701828,2023-06-30,3
W17838,1240,51,18,5724,2023-06-12,1
W17840,643,49,10,7368,2023-02-07,4
W17840,643,49,801,357837,2023-05-20,3
W17840,643,49,360,130800,2023-05-25,5
W17840,643,49,31,12401,2023-04-30,1
W18051,1955,54,205,140991,2023-06-16,4
W18051,1955,54,1451,768902,2023-06-30,3
W18051,1955,54,624,218655,2023-06-30,5
W18051,1955,54,412,178945,2023-06-30,1
W18095,526,48,162,115037,2023-01-06,4
W18095,526,48,718,404653,2023-02-26,3
W18194,827,47,9,7655,2023-02-24,4
W18194,827,47,1246,647473,2023-03-13,3
W18194,827,47,2,88,2023-02-09,1
W18194,827,47,165,54727,2023-03-13,5
W18578,1579,53,1369,810205,2023-06-26,3
W18578,1579,53,13,6830,2023-06-20,4
W18578,1579,53,539,212198,2023-06-25,5
W18578,1579,53,408,220904,2023-06-26,1
W18632,1832,52,884,677241,2023-06-30,3
W18632,1832,52,48,37442,2023-06-05,4
W18632,1832,52,238,62544,2023-06-30,5
W18632,1832,52,49,17681,2023-06-29,1
W18632,1832,52,4,5158,2023-04-10,2
W18633,1675,51,80,61288,2023-05-31,4
W18633,1675,51,32,8714,2023-05-16,5
W18633,1675,51,1209,831808,2023-06-03,3
W18633,1675,51,203,134763,2023-06-03,1
W18797,491,55,576,464921,2023-06-29,4
W19214,528,53,749,766292,2023-06-30,4
W19214,528,53,1,958,2023-03-01,2
W19214,528,53,55,49830,2023-06-05,3
W19214,528,53,2,821,2023-05-23,5
W19214,528,53,1,701,2023-05-30,1
W19345,1563,55,8,8311,2023-06-08,4
W19345,1563,55,1128,847053,2023-06-18,3
W19345,1563,55,350,118664,2023-06-21,5
